[2026-05-30T04:01:25.958Z] GET http://localhost:3002/_next/static/css/css-src_app_globals_css-node_modules_next_font_google_target_css.css?v=1780113685892 → 200 (3ms, 24060B)
[2026-05-30T04:01:25.958Z] GET http://localhost:3002/_next/static/chunks/webpack.js?v=1780113685892 → 200 (9ms, 56483B)
[2026-05-30T04:01:25.958Z] GET http://localhost:3002/_next/static/chunks/main-app.js?v=1780113685892 → 200 (94ms, 5999807B)
[2026-05-30T04:01:25.958Z] GET http://localhost:3002/_next/static/chunks/app-pages-internals.js → 200 (10ms, 132800B)
[2026-05-30T04:01:25.958Z] GET http://localhost:3002/_next/static/chunks/app/layout.js → 200 (17ms, 366760B)
[2026-05-30T04:01:25.958Z] GET http://localhost:3002/_next/static/chunks/app/(main)/products/page.js → 200 (12ms, 211082B)
[2026-05-30T04:01:25.958Z] GET http://localhost:3002/_next/static/chunks/app/(main)/layout.js → 200 (24ms, 861608B)
[2026-05-30T04:01:26.196Z] GET http://localhost:3002/api/auth/session → 200 (11ms, 91B)
[2026-05-30T04:01:26.197Z] GET http://localhost:3002/api/auth/session → 200 (7ms, 91B)
[2026-05-30T04:03:20.095Z] GET http://localhost:3002/_next/static/webpack/297e6337f74da501.webpack.hot-update.json → 200 (3ms, 44B)
[2026-05-30T04:03:20.099Z] GET http://localhost:3002/_next/static/webpack/app/layout.297e6337f74da501.hot-update.js → 200 (3ms, 1623B)
[2026-05-30T04:03:20.099Z] GET http://localhost:3002/_next/static/webpack/webpack.297e6337f74da501.hot-update.js → 200 (2ms, 858B)
[2026-05-30T04:03:20.159Z] GET http://localhost:3002/products?_rsc=195re → 200 (41ms, ?B)
[2026-05-30T04:03:20.207Z] GET http://localhost:3002/_next/static/css/css-src_app_globals_css-node_modules_next_font_google_target_css.css?v=1780113800181 → 200 (4ms, 24060B)
[2026-05-30T04:07:41.774Z] GET http://localhost:3002/products?_rsc=195re → 200 (57ms, ?B)
[2026-05-30T04:07:41.840Z] GET http://localhost:3002/_next/static/css/css-src_app_globals_css-node_modules_next_font_google_target_css.css?v=1780114061800 → 200 (4ms, 24060B)
[2026-05-30T04:23:12.230Z] GET http://localhost:3002/login → pending (?ms, ?B)
[2026-05-30T04:23:13.414Z] GET http://localhost:3002/_next/static/media/e4af272ccee01ff0-s.p.woff2 → 200 (?ms, ?B)
[2026-05-30T04:23:13.415Z] GET http://localhost:3002/_next/static/css/css-src_app_globals_css-node_modules_next_font_google_target_css.css?v=1780114993377 → 200 (12ms, 24045B)
[2026-05-30T04:23:13.415Z] GET http://localhost:3002/_next/static/chunks/webpack.js?v=1780114993377 → 200 (17ms, 56463B)
[2026-05-30T04:23:13.415Z] GET http://localhost:3002/_next/static/chunks/main-app.js?v=1780114993377 → 200 (107ms, 5999807B)
[2026-05-30T04:23:13.415Z] GET http://localhost:3002/_next/static/chunks/app-pages-internals.js → 200 (31ms, 132800B)
[2026-05-30T04:23:13.415Z] GET http://localhost:3002/_next/static/chunks/app/login/page.js → 200 (36ms, 362476B)
[2026-05-30T04:23:13.415Z] GET http://localhost:3002/_next/static/chunks/app/layout.js → 200 (42ms, 366760B)
[2026-05-30T04:23:13.672Z] GET http://localhost:3002/api/auth/session → pending (?ms, ?B)
[2026-05-30T04:23:13.672Z] GET http://localhost:3002/api/auth/session → pending (?ms, ?B)
[2026-05-30T04:23:14.048Z] GET http://localhost:3002/_next/static/webpack/c542f10f5e3f30cd.webpack.hot-update.json → 200 (5ms, 44B)
[2026-05-30T04:23:14.053Z] GET http://localhost:3002/_next/static/webpack/app/layout.c542f10f5e3f30cd.hot-update.js → 200 (5ms, 1623B)
[2026-05-30T04:23:14.053Z] GET http://localhost:3002/_next/static/webpack/webpack.c542f10f5e3f30cd.hot-update.js → 200 (3ms, 858B)
[2026-05-30T04:23:14.058Z] GET http://localhost:3002/_next/static/webpack/89a84d7cd31357f6.webpack.hot-update.json → 200 (1ms, 31B)
[2026-05-30T04:23:14.059Z] GET http://localhost:3002/_next/static/webpack/webpack.89a84d7cd31357f6.hot-update.js → 200 (2ms, 24488B)
[2026-05-30T04:23:14.911Z] GET http://localhost:3002/login?_rsc=v3pub → 500 (116ms, ?B)
[2026-05-30T04:23:14.912Z] GET http://localhost:3002/_next/static/webpack/a2f0e8aacfb3d8bd.webpack.hot-update.json → 200 (2ms, 31B)
[2026-05-30T04:23:14.914Z] GET http://localhost:3002/_next/static/webpack/webpack.a2f0e8aacfb3d8bd.hot-update.js → 200 (6ms, 24493B)
[2026-05-30T04:23:15.024Z] POST http://localhost:3002/api/auth/_log → 500 (14ms, ?B)
[2026-05-30T04:23:15.027Z] GET http://localhost:3002/login?_rsc=v3pub → 500 (8ms, ?B)
[2026-05-30T04:23:15.031Z] POST http://localhost:3002/api/auth/_log → 500 (2ms, 4678B)
[2026-05-30T04:23:15.036Z] GET http://localhost:3002/login → 500 (7ms, 4678B)
[2026-05-30T04:23:15.046Z] GET http://localhost:3002/_next/static/chunks/fallback/webpack.js → 200 (2ms, 47259B)
[2026-05-30T04:23:15.046Z] GET http://localhost:3002/_next/static/chunks/fallback/main.js → 200 (106ms, 5009545B)
[2026-05-30T04:23:15.046Z] GET http://localhost:3002/_next/static/chunks/fallback/pages/_app.js → 200 (2ms, 3391B)
[2026-05-30T04:23:15.046Z] GET http://localhost:3002/_next/static/chunks/fallback/pages/_error.js → 200 (2ms, 3387B)
[2026-05-30T04:23:15.046Z] GET http://localhost:3002/_next/static/chunks/fallback/react-refresh.js → 200 (7ms, 78963B)
[2026-05-30T04:23:15.210Z] GET http://localhost:3002/_next/static/development/_devMiddlewareManifest.json → 200 (72ms, 2B)
[2026-05-30T04:23:15.285Z] GET http://localhost:3002/__nextjs_original-stack-frame?isServer=true&isEdgeServer=false&isAppDirectory=false&errorMessage=Error%3A+Module+not+found%3A+Can%27t+resolve+%27crypto%27%0A%0Ahttps%3A%2F%2Fnextjs.org%2Fdocs%2Fmessages%2Fmodule-not-found%0A%0AImport+trace+for+requested+module%3A%0A.%2Fnode_modules%2Fnext-auth%2Fcore%2Findex.js%0A.%2Fnode_modules%2Fnext-auth%2Fnext%2Findex.js%0A.%2Fnode_modules%2Fnext-auth%2Findex.js%0A.%2Fsrc%2Fapp%2Fapi%2Fauth%2F%5B...nextauth%5D%2Froute.ts%0A.%2Fnode_modules%2Fnext%2Fdist%2Fbuild%2Fwebpack%2Floaders%2Fnext-edge-app-route-loader%2Findex.js%3FabsolutePagePath%3D%252FUsers%252FEven%252FDocuments%252FClaude%252FProjects%252FPoint%2520Asia%252Fpaxis%252Fsrc%252Fapp%252Fapi%252Fauth%252F%255B...nextauth%255D%252Froute.ts%26page%3D%252Fapi%252Fauth%252F%255B...nextauth%255D%252Froute%26appDirLoader%3DbmV4dC1hcHAtbG9hZGVyP25hbWU9YXBwJTJGYXBpJTJGYXV0aCUyRiU1Qi4uLm5leHRhdXRoJTVEJTJGcm91dGUmcGFnZT0lMkZhcGklMkZhdXRoJTJGJTVCLi4ubmV4dGF1dGglNUQlMkZyb3V0ZSZhcHBQYXRocz0mcGFnZVBhdGg9cHJpdmF0ZS1uZXh0LWFwcC1kaXIlMkZhcGklMkZhdXRoJTJGJTVCLi4ubmV4dGF1dGglNUQlMkZyb3V0ZS50cyZhcHBEaXI9JTJGVXNlcnMlMkZFdmVuJTJGRG9jdW1lbnRzJTJGQ2xhdWRlJTJGUHJvamVjdHMlMkZQb2ludCUyMEFzaWElMkZwYXhpcyUyRnNyYyUyRmFwcCZwYWdlRXh0ZW5zaW9ucz10c3gmcGFnZUV4dGVuc2lvbnM9dHMmcGFnZUV4dGVuc2lvbnM9anN4JnBhZ2VFeHRlbnNpb25zPWpzJnJvb3REaXI9JTJGVXNlcnMlMkZFdmVuJTJGRG9jdW1lbnRzJTJGQ2xhdWRlJTJGUHJvamVjdHMlMkZQb2ludCUyMEFzaWElMkZwYXhpcyZpc0Rldj10cnVlJnRzY29uZmlnUGF0aD10c2NvbmZpZy5qc29uJmJhc2VQYXRoPSZhc3NldFByZWZpeD0mbmV4dENvbmZpZ091dHB1dD0mcHJlZmVycmVkUmVnaW9uPSZtaWRkbGV3YXJlQ29uZmlnPWUzMCUzRCE%253D%26nextConfigOutput%3D%26preferredRegion%3D%26middlewareConfig%3De30%253D%21&file=file%3A%2F%2F%2FUsers%2FEven%2FDocuments%2FClaude%2FProjects%2FPoint+Asia%2Fpaxis%2Fnode_modules%2Fnext%2Fdist%2Fbuild%2Fwebpack%2Fplugins%2Fwellknown-errors-plugin%2FparseNotFoundError.js&methodName=getNotFoundError&arguments=&lineNumber=124&column=16 → 200 (2ms, 24B)
[2026-05-30T04:23:15.285Z] GET http://localhost:3002/__nextjs_original-stack-frame?isServer=true&isEdgeServer=false&isAppDirectory=false&errorMessage=Error%3A+Module+not+found%3A+Can%27t+resolve+%27crypto%27%0A%0Ahttps%3A%2F%2Fnextjs.org%2Fdocs%2Fmessages%2Fmodule-not-found%0A%0AImport+trace+for+requested+module%3A%0A.%2Fnode_modules%2Fnext-auth%2Fcore%2Findex.js%0A.%2Fnode_modules%2Fnext-auth%2Fnext%2Findex.js%0A.%2Fnode_modules%2Fnext-auth%2Findex.js%0A.%2Fsrc%2Fapp%2Fapi%2Fauth%2F%5B...nextauth%5D%2Froute.ts%0A.%2Fnode_modules%2Fnext%2Fdist%2Fbuild%2Fwebpack%2Floaders%2Fnext-edge-app-route-loader%2Findex.js%3FabsolutePagePath%3D%252FUsers%252FEven%252FDocuments%252FClaude%252FProjects%252FPoint%2520Asia%252Fpaxis%252Fsrc%252Fapp%252Fapi%252Fauth%252F%255B...nextauth%255D%252Froute.ts%26page%3D%252Fapi%252Fauth%252F%255B...nextauth%255D%252Froute%26appDirLoader%3DbmV4dC1hcHAtbG9hZGVyP25hbWU9YXBwJTJGYXBpJTJGYXV0aCUyRiU1Qi4uLm5leHRhdXRoJTVEJTJGcm91dGUmcGFnZT0lMkZhcGklMkZhdXRoJTJGJTVCLi4ubmV4dGF1dGglNUQlMkZyb3V0ZSZhcHBQYXRocz0mcGFnZVBhdGg9cHJpdmF0ZS1uZXh0LWFwcC1kaXIlMkZhcGklMkZhdXRoJTJGJTVCLi4ubmV4dGF1dGglNUQlMkZyb3V0ZS50cyZhcHBEaXI9JTJGVXNlcnMlMkZFdmVuJTJGRG9jdW1lbnRzJTJGQ2xhdWRlJTJGUHJvamVjdHMlMkZQb2ludCUyMEFzaWElMkZwYXhpcyUyRnNyYyUyRmFwcCZwYWdlRXh0ZW5zaW9ucz10c3gmcGFnZUV4dGVuc2lvbnM9dHMmcGFnZUV4dGVuc2lvbnM9anN4JnBhZ2VFeHRlbnNpb25zPWpzJnJvb3REaXI9JTJGVXNlcnMlMkZFdmVuJTJGRG9jdW1lbnRzJTJGQ2xhdWRlJTJGUHJvamVjdHMlMkZQb2ludCUyMEFzaWElMkZwYXhpcyZpc0Rldj10cnVlJnRzY29uZmlnUGF0aD10c2NvbmZpZy5qc29uJmJhc2VQYXRoPSZhc3NldFByZWZpeD0mbmV4dENvbmZpZ091dHB1dD0mcHJlZmVycmVkUmVnaW9uPSZtaWRkbGV3YXJlQ29uZmlnPWUzMCUzRCE%253D%26nextConfigOutput%3D%26preferredRegion%3D%26middlewareConfig%3De30%253D%21&file=file%3A%2F%2F%2FUsers%2FEven%2FDocuments%2FClaude%2FProjects%2FPoint+Asia%2Fpaxis%2Fnode_modules%2Fnext%2Fdist%2Fbuild%2Fwebpack%2Fplugins%2Fwellknown-errors-plugin%2FwebpackModuleError.js&methodName=async+getModuleBuildError&arguments=&lineNumber=104&column=27 → 200 (2ms, 24B)
[2026-05-30T04:23:15.285Z] GET http://localhost:3002/__nextjs_original-stack-frame?isServer=true&isEdgeServer=false&isAppDirectory=false&errorMessage=Error%3A+Module+not+found%3A+Can%27t+resolve+%27crypto%27%0A%0Ahttps%3A%2F%2Fnextjs.org%2Fdocs%2Fmessages%2Fmodule-not-found%0A%0AImport+trace+for+requested+module%3A%0A.%2Fnode_modules%2Fnext-auth%2Fcore%2Findex.js%0A.%2Fnode_modules%2Fnext-auth%2Fnext%2Findex.js%0A.%2Fnode_modules%2Fnext-auth%2Findex.js%0A.%2Fsrc%2Fapp%2Fapi%2Fauth%2F%5B...nextauth%5D%2Froute.ts%0A.%2Fnode_modules%2Fnext%2Fdist%2Fbuild%2Fwebpack%2Floaders%2Fnext-edge-app-route-loader%2Findex.js%3FabsolutePagePath%3D%252FUsers%252FEven%252FDocuments%252FClaude%252FProjects%252FPoint%2520Asia%252Fpaxis%252Fsrc%252Fapp%252Fapi%252Fauth%252F%255B...nextauth%255D%252Froute.ts%26page%3D%252Fapi%252Fauth%252F%255B...nextauth%255D%252Froute%26appDirLoader%3DbmV4dC1hcHAtbG9hZGVyP25hbWU9YXBwJTJGYXBpJTJGYXV0aCUyRiU1Qi4uLm5leHRhdXRoJTVEJTJGcm91dGUmcGFnZT0lMkZhcGklMkZhdXRoJTJGJTVCLi4ubmV4dGF1dGglNUQlMkZyb3V0ZSZhcHBQYXRocz0mcGFnZVBhdGg9cHJpdmF0ZS1uZXh0LWFwcC1kaXIlMkZhcGklMkZhdXRoJTJGJTVCLi4ubmV4dGF1dGglNUQlMkZyb3V0ZS50cyZhcHBEaXI9JTJGVXNlcnMlMkZFdmVuJTJGRG9jdW1lbnRzJTJGQ2xhdWRlJTJGUHJvamVjdHMlMkZQb2ludCUyMEFzaWElMkZwYXhpcyUyRnNyYyUyRmFwcCZwYWdlRXh0ZW5zaW9ucz10c3gmcGFnZUV4dGVuc2lvbnM9dHMmcGFnZUV4dGVuc2lvbnM9anN4JnBhZ2VFeHRlbnNpb25zPWpzJnJvb3REaXI9JTJGVXNlcnMlMkZFdmVuJTJGRG9jdW1lbnRzJTJGQ2xhdWRlJTJGUHJvamVjdHMlMkZQb2ludCUyMEFzaWElMkZwYXhpcyZpc0Rldj10cnVlJnRzY29uZmlnUGF0aD10c2NvbmZpZy5qc29uJmJhc2VQYXRoPSZhc3NldFByZWZpeD0mbmV4dENvbmZpZ091dHB1dD0mcHJlZmVycmVkUmVnaW9uPSZtaWRkbGV3YXJlQ29uZmlnPWUzMCUzRCE%253D%26nextConfigOutput%3D%26preferredRegion%3D%26middlewareConfig%3De30%253D%21&file=file%3A%2F%2F%2FUsers%2FEven%2FDocuments%2FClaude%2FProjects%2FPoint+Asia%2Fpaxis%2Fnode_modules%2Fnext%2Fdist%2Fbuild%2Fwebpack%2Fplugins%2Fwellknown-errors-plugin%2Findex.js&methodName=async&arguments=&lineNumber=29&column=49 → 200 (2ms, 24B)
